GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking,com.bank,Account,68,0,8,0,18,0,9,0,5,0
banking,com.bank,TransferService,37,0,10,0,7,0,7,0,2,0
banking,com.bank,Main,63,0,0,0,10,0,2,0,2,0
